ticker,date,coname,exec,dep_code,year,car_0_2,car_0_5,car_3_20,car_full,alpha,beta,n_est,n_evt
BSX,2009-07-13,BOSTON SCIENTIFIC CORP,James R. Tobin,3,2009,-0.006550587513280203,-0.01912553455053842,-0.010893407386303004,-0.03287638108350582,0.002082413835948562,0.9439388680230125,130,26
BAC,2009-12-31,BANK OF AMERICA CORP,Kenneth D. Lewis,4,2009,0.057358719366797206,0.07962458463173414,0.016620957607723762,0.04243660839984372,0.0004428580954828846,1.6451518099583435,130,26
HPQ,2010-01-01,HP INC,Mark Vincent Hurd,4,2010,-0.016725490223876212,-0.029052962011031625,-0.08459358175633346,-0.10622962514210291,0.00147180848069495,0.8700962688825699,130,26
NDSN,2010-01-16,NORDSON CORP,Edward P. Campbell,3,2010,0.0013277111723638858,-0.0033449697451592396,-0.020431286000490163,-0.040636766860984136,0.0008143699822826698,1.5070683131806248,130,26
BBT,2010-01-27,NATIONAL PENN BANCSHARES INC,Glenn E. Moyer,3,2010,-0.07372353518980941,-0.07840960344764,0.12234445912413827,0.06779093517442744,-0.0016590803242882242,0.8364984328547094,130,26
CROX,2010-03-01,CROCS INC,John H. Duerden,4,2010,-0.010494171569454959,-0.0169381869536208,-0.0697363980978355,-0.19389112296671904,0.004886633370254082,2.613980725472982,130,26
RF,2010-03-31,REGIONS FINANCIAL CORP,C. Dowd Ritter,3,2010,0.0523810771490431,0.10280790782715755,0.02623953711359172,0.06366530883339754,0.00044469349503828653,1.6846244012442195,130,26
BIIB,2010-06-08,BIOGEN INC-OLD,James C. Mullen,3,2010,-0.017943368819515648,-0.03954154773588332,0.038135575774903036,0.046664708962598084,0.0010151747785082297,0.7451769055140469,130,26
NATR,2010-06-30,NATURES SUNSHINE PRODS INC,Douglas Faggioli,4,2010,0.06658834065483513,0.04049579946215713,-0.14899595367845675,-0.35955778482808276,0.004426966646655993,0.6844907893548137,130,26
SYNA,2010-10-01,SYNAPTICS INC,Thomas J. Tiernan,3,2010,-0.05039797542321301,-0.09486533327455607,-0.027233987554009836,-0.050813381705206065,0.00015462118755017992,0.9024932370333955,130,26
FSS,2010-11-01,FEDERAL SIGNAL CORP,William H. Osborne,3,2010,-0.0037047097562403625,0.030300962456135203,0.2057045281968951,0.20495907007725833,-0.003081907398362186,1.9580019644842677,130,26
PFE,2010-12-05,PFIZER INC,Jeffrey B. Kindler,3,2010,-0.0033951775820991095,0.015855142609256002,0.04126947855740634,0.027932049102146802,0.0004098476025956534,0.7494549558013058,130,26
HPQ,2011-01-01,HP INC,Leo Apotheker,3,2011,0.027645214210751817,0.06352536994957649,0.05807753139291093,0.11110332046150252,-0.001207721381145557,0.8375699948420536,130,26
CENX,2011-01-01,CENTURY ALUMINUM CO,Logan W. Kruger,3,2011,0.04255202029579232,0.03061860625032293,-0.16218900752464152,-0.13626902640374094,0.0009905177077946673,2.382548993617111,130,26
OXY,2011-01-05,OCCIDENTAL PETROLEUM CORP,Ray R. Irani,3,2011,-0.006515457139011115,-0.007064263918756868,-0.014129861594935761,-0.04301145693683647,0.0001364000560930903,1.2118678006158705,130,26
AMD,2011-01-10,ADVANCED MICRO DEVICES,Derrick R. Meyer,3,2011,-0.059052989526458356,-0.10054570901112593,-0.032204485428053486,-0.022822025699941333,-0.0013987911165878307,1.5227095865578437,130,26
CMVT,2011-03-04,COMVERSE TECHNOLOGY INC,Andre Dahan,4,2011,0.006956289880153905,0.022081541344874882,0.002726229937872554,0.024286845872932714,-0.001305511928848928,0.8518011316863833,130,26
IRM,2011-04-12,IRON MOUNTAIN INC,Robert T. Brennan,3,2011,0.04842866862369743,0.052516000750492974,-0.10274244862311659,-0.04294010697919985,0.0018997021419146615,0.620484350735112,130,26
MDT,2011-04-29,MEDTRONIC PLC,William A. Hawkins III,3,2011,0.011029971098806256,0.03058664808859267,-0.03641738890608215,-0.017548055752370575,0.00034309711853891317,0.8594057084324528,130,26
PCG,2011-04-30,PG&E CORP,Peter A. Darbee,3,2011,0.00013027041603423748,0.001552788910346204,-0.04372647932831031,-0.027812156864875138,-0.0006737068540591623,0.5531186578111561,130,26
ANGO,2011-06-13,ANGIODYNAMICS INC,Johannes C. M. Keltjens,3,2011,-0.10856635771812853,-0.09974822681387155,0.025537388979043972,-0.10653405690731653,0.00027119655911517595,1.084230234560525,130,26
CPB,2011-07-31,CAMPBELL SOUP CO,Douglas R. Conant,3,2011,0.0035774956526330995,-0.03585079909669728,-0.026842438607305764,-0.03541793124621166,9.563126123263624e-06,0.2648499660759317,130,26
FSLR,2011-10-26,FIRST SOLAR INC,Robert J. Gillette,3,2011,0.1961148489916586,0.12199066008172718,-0.05781722608976686,-0.05328958811248034,-0.004470317266161136,1.1232886405264433,130,26
ADP,2011-11-09,AUTOMATIC DATA PROCESSING,Gary C. Butler,4,2011,-0.00640456061450064,-0.013458771667046376,0.009239770989883787,0.004676979001254488,0.00043325991061350297,0.8205509631737803,130,26
VRTX,2012-02-01,VERTEX PHARMACEUTICALS INC,Matthew W. Emmens,3,2012,-0.016843880920552556,-0.011824619765180261,0.12211733458017658,0.17551770349683582,-0.0023351421633920405,0.8339625681633008,130,26
SYK,2012-02-08,STRYKER CORP,Stephen P. MacMillan,4,2012,-0.02483098156570631,-0.02268339255351773,-0.020656962986744545,-0.07360320024974679,-0.000616174093227255,1.0225674298140655,130,26
CHTR,2012-02-12,CHARTER COMMUNICATIONS INC,Michael J. Lovett,3,2012,0.05923052148060093,0.05035877951913878,-0.03856903191497869,0.02761202441051508,0.0004311164734522567,1.0849406894773246,130,26
BBY,2012-04-09,BEST BUY CO INC,Brian J. Dunn,4,2012,-0.009490298690430256,-0.013002208048269976,-0.04250562041656759,-0.13373719760542563,-0.0006690892378955713,0.8195669428815562,130,26
JNJ,2012-04-26,JOHNSON & JOHNSON,William C. Weldon,3,2012,0.008685177785242509,0.01637238211965268,0.01985245713440818,0.046868588999390476,-0.00045688881784091854,0.5856407907726107,130,26
DGX,2012-05-01,QUEST DIAGNOSTICS INC,Surya N. Mohapatra,3,2012,0.004777911797662712,0.01051783226265436,0.023139122241623126,0.010242564400821112,0.0008641924750271224,0.7023976967406534,130,26
MUR,2012-06-01,MURPHY OIL CORP,David M. Wood,3,2012,0.00793720111574221,-0.027205651589313422,0.04040790443987441,0.05313876190912224,-0.0011621995727365696,1.4418635620444789,130,26
SVU,2012-07-01,SUPERVALU INC,Craig R. Herkert,3,2012,-0.018282759141182818,0.02891465009986806,-0.4119013786648239,-0.3644770862154721,-0.0038070694970648556,0.7077842710659507,130,26
C,2012-10-16,CITIGROUP INC,Vikram Shankar Pandit,3,2012,0.026218597805022045,0.05225348063781478,0.08663497363401527,0.19470865753126804,-0.0010536280256425413,2.0475136883696323,130,26
EA,2013-03-30,ELECTRONIC ARTS INC,John S. Riccitiello,3,2013,-0.0152514834008768,-0.026774597063945128,-0.032019683003359854,-0.07646816545006438,0.0013935372258221525,1.5040921794970445,130,26
VNO,2013-04-15,VORNADO REALTY TRUST,Michael D. Fascitelli,3,2013,0.005265416332603258,0.0045059350292000165,-0.021545704602940138,-0.02745450401757896,-0.00018007496319316212,0.764202338844163,130,26
AMAT,2013-09-01,APPLIED MATERIALS INC,Michael R. Splinter,3,2013,0.024311225374055563,0.01845183389551755,0.06972768987059516,0.07640537725160812,0.0006019025330596282,1.344540216196319,130,26
DDR,2014-01-01,EQUITY ONE INC,Jeffrey S. Olson,3,2014,0.02660445621726863,0.03631061856162321,0.06870019323947169,0.08941106065536689,-0.0016877108517315944,1.1163490850224682,130,26
WMT,2014-02-01,WALMART INC,Michael Terry Duke,4,2014,-0.012406416159134119,-0.012949115421597181,-0.008820074790933781,-0.010825730917880774,-0.00023090688415628032,0.6428758404954622,130,26
NOV,2014-02-27,NATIONAL OILWELL VARCO INC,Merrill A. Miller Jr.,3,2014,0.03631025590670523,0.03796960740393311,-0.006279382113980984,-0.00426113554597235,-0.00023631978654691552,0.8711689313048361,130,26
MTX,2014-02-27,MINERALS TECHNOLOGIES INC,Robert S. Wetherbee,3,2014,-0.01942225120495075,-0.02617272601200908,0.15885732811634326,0.15149325818424894,0.0010461862431263335,1.2846630320085177,130,26
TGT,2014-05-05,TARGET CORP,Gregg W. Steinhafel,3,2014,-0.060700556876565594,-0.03934680646002654,-0.019957008960155058,-0.07149938108700717,-0.000543370732419923,0.61705180128651,130,26
